iter	Passed	Remaining
570	1564	1175
571	1567	1172
572	1570	1170
573	1572	1167
574	1575	1164
575	1577	1161
576	1580	1158
577	1583	1155
578	1585	1152
579	1588	1149
580	1590	1147
581	1593	1144
582	1595	1141
583	1599	1139
584	1602	1136
585	1605	1134
586	1608	1131
587	1611	1128
588	1613	1125
589	1616	1122
590	1618	1120
591	1621	1117
592	1624	1114
593	1626	1111
594	1629	1109
595	1632	1106
596	1634	1103
597	1637	1100
598	1639	1097
599	1642	1094
600	1644	1091
601	1647	1089
602	1650	1086
603	1652	1083
604	1655	1081
605	1658	1078
606	1660	1075
607	1663	1072
608	1666	1069
609	1668	1066
610	1671	1063
611	1674	1061
612	1676	1058
613	1679	1055
614	1681	1052
615	1684	1050
616	1686	1047
617	1689	1044
618	1691	1041
619	1694	1038
620	1697	1035
621	1700	1033
622	1703	1030
623	1705	1027
624	1707	1024
625	1710	1022
626	1713	1019
627	1716	1016
628	1718	1013
629	1721	1011
630	1724	1008
631	1727	1005
632	1729	1002
633	1732	1000
634	1735	997
635	1737	994
636	1740	991
637	1743	989
638	1745	985
639	1747	983
640	1750	980
641	1753	977
642	1755	974
643	1758	972
644	1761	969
645	1764	966
646	1767	964
647	1770	961
648	1773	958
649	1775	955
650	1777	952
651	1780	950
652	1782	947
653	1785	944
654	1789	942
655	1792	939
656	1795	937
657	1797	934
658	1800	931
659	1802	928
660	1805	925
661	1808	923
662	1810	920
663	1813	917
664	1816	915
665	1819	912
666	1821	909
667	1824	906
668	1827	904
669	1829	901
670	1832	898
671	1834	895
672	1837	892
673	1840	890
674	1842	887
675	1845	884
676	1847	881
677	1850	878
678	1853	876
679	1855	873
680	1858	870
681	1861	868
682	1864	865
683	1867	862
684	1869	859
685	1872	857
686	1876	854
687	1878	852
688	1881	849
689	1883	846
690	1886	843
691	1889	840
692	1892	838
693	1894	835
694	1897	832
695	1900	829
696	1902	827
697	1905	824
698	1908	821
699	1911	819
700	1913	816
701	1916	813
702	1918	810
703	1921	807
704	1923	804
705	1926	802
706	1929	799
707	1931	796
708	1934	793
